Time (CET/CEST),Actual Total Load [MW] - France (FR)
01.01.2022 00:00 - 01.01.2022 01:00,54542
01.01.2022 01:00 - 01.01.2022 02:00,51654
01.01.2022 02:00 - 01.01.2022 03:00,50160
01.01.2022 03:00 - 01.01.2022 04:00,47250
01.01.2022 04:00 - 01.01.2022 05:00,45424
01.01.2022 05:00 - 01.01.2022 06:00,45253
01.01.2022 06:00 - 01.01.2022 07:00,45785
01.01.2022 07:00 - 01.01.2022 08:00,46485
01.01.2022 08:00 - 01.01.2022 09:00,47153
01.01.2022 09:00 - 01.01.2022 10:00,47933
01.01.2022 10:00 - 01.01.2022 11:00,48911
01.01.2022 11:00 - 01.01.2022 12:00,49989
01.01.2022 12:00 - 01.01.2022 13:00,51801
01.01.2022 13:00 - 01.01.2022 14:00,50485
01.01.2022 14:00 - 01.01.2022 15:00,47998
01.01.2022 15:00 - 01.01.2022 16:00,46485
01.01.2022 16:00 - 01.01.2022 17:00,46449
01.01.2022 17:00 - 01.01.2022 18:00,49826
01.01.2022 18:00 - 01.01.2022 19:00,53542
01.01.2022 19:00 - 01.01.2022 20:00,54915
01.01.2022 20:00 - 01.01.2022 21:00,53528
01.01.2022 21:00 - 01.01.2022 22:00,51854
01.01.2022 22:00 - 01.01.2022 23:00,52563
01.01.2022 23:00 - 02.01.2022 00:00,53492
02.01.2022 00:00 - 02.01.2022 01:00,53492
02.01.2022 01:00 - 02.01.2022 02:00,49526
02.01.2022 02:00 - 02.01.2022 03:00,48194
02.01.2022 03:00 - 02.01.2022 04:00,45530
02.01.2022 04:00 - 02.01.2022 05:00,44359
02.01.2022 05:00 - 02.01.2022 06:00,44581
02.01.2022 06:00 - 02.01.2022 07:00,45505
02.01.2022 07:00 - 02.01.2022 08:00,46543
02.01.2022 08:00 - 02.01.2022 09:00,47878
02.01.2022 09:00 - 02.01.2022 10:00,49937
02.01.2022 10:00 - 02.01.2022 11:00,51991
02.01.2022 11:00 - 02.01.2022 12:00,53482
02.01.2022 12:00 - 02.01.2022 13:00,56140
02.01.2022 13:00 - 02.01.2022 14:00,54252
02.01.2022 14:00 - 02.01.2022 15:00,51499
02.01.2022 15:00 - 02.01.2022 16:00,49855
02.01.2022 16:00 - 02.01.2022 17:00,49669
02.01.2022 17:00 - 02.01.2022 18:00,52732
02.01.2022 18:00 - 02.01.2022 19:00,56686
02.01.2022 19:00 - 02.01.2022 20:00,57952
02.01.2022 20:00 - 02.01.2022 21:00,55921
02.01.2022 21:00 - 02.01.2022 22:00,53664
02.01.2022 22:00 - 02.01.2022 23:00,53749
02.01.2022 23:00 - 03.01.2022 00:00,54406
03.01.2022 00:00 - 03.01.2022 01:00,54406
03.01.2022 01:00 - 03.01.2022 02:00,50338
03.01.2022 02:00 - 03.01.2022 03:00,49246
03.01.2022 03:00 - 03.01.2022 04:00,47007
03.01.2022 04:00 - 03.01.2022 05:00,46503
03.01.2022 05:00 - 03.01.2022 06:00,48913
03.01.2022 06:00 - 03.01.2022 07:00,54494
03.01.2022 07:00 - 03.01.2022 08:00,59925
03.01.2022 08:00 - 03.01.2022 09:00,62826
03.01.2022 09:00 - 03.01.2022 10:00,63693
03.01.2022 10:00 - 03.01.2022 11:00,63631
03.01.2022 11:00 - 03.01.2022 12:00,63718
03.01.2022 12:00 - 03.01.2022 13:00,64729
03.01.2022 13:00 - 03.01.2022 14:00,63265
03.01.2022 14:00 - 03.01.2022 15:00,61581
03.01.2022 15:00 - 03.01.2022 16:00,59957
03.01.2022 16:00 - 03.01.2022 17:00,59735
03.01.2022 17:00 - 03.01.2022 18:00,62721
03.01.2022 18:00 - 03.01.2022 19:00,66193
03.01.2022 19:00 - 03.01.2022 20:00,66190
03.01.2022 20:00 - 03.01.2022 21:00,62344
03.01.2022 21:00 - 03.01.2022 22:00,58771
03.01.2022 22:00 - 03.01.2022 23:00,58033
03.01.2022 23:00 - 04.01.2022 00:00,58343
04.01.2022 00:00 - 04.01.2022 01:00,55602
04.01.2022 01:00 - 04.01.2022 02:00,53568
04.01.2022 02:00 - 04.01.2022 03:00,52291
04.01.2022 03:00 - 04.01.2022 04:00,50058
04.01.2022 04:00 - 04.01.2022 05:00,49469
04.01.2022 05:00 - 04.01.2022 06:00,51688
04.01.2022 06:00 - 04.01.2022 07:00,56856
04.01.2022 07:00 - 04.01.2022 08:00,62574
04.01.2022 08:00 - 04.01.2022 09:00,65655
04.01.2022 09:00 - 04.01.2022 10:00,66307
04.01.2022 10:00 - 04.01.2022 11:00,66599
04.01.2022 11:00 - 04.01.2022 12:00,67012
04.01.2022 12:00 - 04.01.2022 13:00,68212
04.01.2022 13:00 - 04.01.2022 14:00,66768
04.01.2022 14:00 - 04.01.2022 15:00,64851
04.01.2022 15:00 - 04.01.2022 16:00,63183
04.01.2022 16:00 - 04.01.2022 17:00,62826
04.01.2022 17:00 - 04.01.2022 18:00,65352
04.01.2022 18:00 - 04.01.2022 19:00,68678
04.01.2022 19:00 - 04.01.2022 20:00,68833
04.01.2022 20:00 - 04.01.2022 21:00,64841
04.01.2022 21:00 - 04.01.2022 22:00,61310
04.01.2022 22:00 - 04.01.2022 23:00,61010
04.01.2022 23:00 - 05.01.2022 00:00,61347
05.01.2022 00:00 - 05.01.2022 01:00,61347
05.01.2022 01:00 - 05.01.2022 02:00,57537
05.01.2022 02:00 - 05.01.2022 03:00,56881
05.01.2022 03:00 - 05.01.2022 04:00,55196
05.01.2022 04:00 - 05.01.2022 05:00,55205
05.01.2022 05:00 - 05.01.2022 06:00,57827
05.01.2022 06:00 - 05.01.2022 07:00,63264
05.01.2022 07:00 - 05.01.2022 08:00,68843
05.01.2022 08:00 - 05.01.2022 09:00,72636
05.01.2022 09:00 - 05.01.2022 10:00,73704
05.01.2022 10:00 - 05.01.2022 11:00,73392
05.01.2022 11:00 - 05.01.2022 12:00,73365
05.01.2022 12:00 - 05.01.2022 13:00,73803
05.01.2022 13:00 - 05.01.2022 14:00,71596
05.01.2022 14:00 - 05.01.2022 15:00,69745
05.01.2022 15:00 - 05.01.2022 16:00,68334
05.01.2022 16:00 - 05.01.2022 17:00,68409
05.01.2022 17:00 - 05.01.2022 18:00,72157
05.01.2022 18:00 - 05.01.2022 19:00,76560
05.01.2022 19:00 - 05.01.2022 20:00,76950
05.01.2022 20:00 - 05.01.2022 21:00,72830
05.01.2022 21:00 - 05.01.2022 22:00,68911
05.01.2022 22:00 - 05.01.2022 23:00,68390
05.01.2022 23:00 - 06.01.2022 00:00,68567
06.01.2022 00:00 - 06.01.2022 01:00,66155
06.01.2022 01:00 - 06.01.2022 02:00,64494
06.01.2022 02:00 - 06.01.2022 03:00,63698
06.01.2022 03:00 - 06.01.2022 04:00,61812
06.01.2022 04:00 - 06.01.2022 05:00,61351
06.01.2022 05:00 - 06.01.2022 06:00,64180
06.01.2022 06:00 - 06.01.2022 07:00,69843
06.01.2022 07:00 - 06.01.2022 08:00,76280
06.01.2022 08:00 - 06.01.2022 09:00,79639
06.01.2022 09:00 - 06.01.2022 10:00,79918
06.01.2022 10:00 - 06.01.2022 11:00,78643
06.01.2022 11:00 - 06.01.2022 12:00,77539
06.01.2022 12:00 - 06.01.2022 13:00,77362
06.01.2022 13:00 - 06.01.2022 14:00,74889
06.01.2022 14:00 - 06.01.2022 15:00,72313
06.01.2022 15:00 - 06.01.2022 16:00,70813
06.01.2022 16:00 - 06.01.2022 17:00,70773
06.01.2022 17:00 - 06.01.2022 18:00,74194
06.01.2022 18:00 - 06.01.2022 19:00,78321
06.01.2022 19:00 - 06.01.2022 20:00,78421
06.01.2022 20:00 - 06.01.2022 21:00,74448
06.01.2022 21:00 - 06.01.2022 22:00,70584
06.01.2022 22:00 - 06.01.2022 23:00,69909
06.01.2022 23:00 - 07.01.2022 00:00,69842
07.01.2022 00:00 - 07.01.2022 01:00,69842
07.01.2022 01:00 - 07.01.2022 02:00,65774
07.01.2022 02:00 - 07.01.2022 03:00,64790
07.01.2022 03:00 - 07.01.2022 04:00,62673
07.01.2022 04:00 - 07.01.2022 05:00,61949
07.01.2022 05:00 - 07.01.2022 06:00,64283
07.01.2022 06:00 - 07.01.2022 07:00,69610
07.01.2022 07:00 - 07.01.2022 08:00,75280
07.01.2022 08:00 - 07.01.2022 09:00,78236
07.01.2022 09:00 - 07.01.2022 10:00,78539
07.01.2022 10:00 - 07.01.2022 11:00,77861
07.01.2022 11:00 - 07.01.2022 12:00,77336
07.01.2022 12:00 - 07.01.2022 13:00,76810
07.01.2022 13:00 - 07.01.2022 14:00,74619
07.01.2022 14:00 - 07.01.2022 15:00,72251
07.01.2022 15:00 - 07.01.2022 16:00,70664
07.01.2022 16:00 - 07.01.2022 17:00,70451
07.01.2022 17:00 - 07.01.2022 18:00,73153
07.01.2022 18:00 - 07.01.2022 19:00,75763
07.01.2022 19:00 - 07.01.2022 20:00,75363
07.01.2022 20:00 - 07.01.2022 21:00,71949
07.01.2022 21:00 - 07.01.2022 22:00,68122
07.01.2022 22:00 - 07.01.2022 23:00,67624
07.01.2022 23:00 - 08.01.2022 00:00,67739
08.01.2022 00:00 - 08.01.2022 01:00,67739
08.01.2022 01:00 - 08.01.2022 02:00,62463
08.01.2022 02:00 - 08.01.2022 03:00,61137
08.01.2022 03:00 - 08.01.2022 04:00,58732
08.01.2022 04:00 - 08.01.2022 05:00,57426
08.01.2022 05:00 - 08.01.2022 06:00,58189
08.01.2022 06:00 - 08.01.2022 07:00,59749
08.01.2022 07:00 - 08.01.2022 08:00,61420
08.01.2022 08:00 - 08.01.2022 09:00,63657
08.01.2022 09:00 - 08.01.2022 10:00,65489
08.01.2022 10:00 - 08.01.2022 11:00,66392
08.01.2022 11:00 - 08.01.2022 12:00,67215
08.01.2022 12:00 - 08.01.2022 13:00,69254
08.01.2022 13:00 - 08.01.2022 14:00,67656
08.01.2022 14:00 - 08.01.2022 15:00,64806
08.01.2022 15:00 - 08.01.2022 16:00,63011
08.01.2022 16:00 - 08.01.2022 17:00,62661
08.01.2022 17:00 - 08.01.2022 18:00,64861
08.01.2022 18:00 - 08.01.2022 19:00,67860
08.01.2022 19:00 - 08.01.2022 20:00,68362
08.01.2022 20:00 - 08.01.2022 21:00,65616
08.01.2022 21:00 - 08.01.2022 22:00,62896
08.01.2022 22:00 - 08.01.2022 23:00,63295
08.01.2022 23:00 - 09.01.2022 00:00,63823
09.01.2022 00:00 - 09.01.2022 01:00,63823
09.01.2022 01:00 - 09.01.2022 02:00,59470
09.01.2022 02:00 - 09.01.2022 03:00,58084
09.01.2022 03:00 - 09.01.2022 04:00,55477
09.01.2022 04:00 - 09.01.2022 05:00,54196
09.01.2022 05:00 - 09.01.2022 06:00,54556
09.01.2022 06:00 - 09.01.2022 07:00,55415
09.01.2022 07:00 - 09.01.2022 08:00,56799
09.01.2022 08:00 - 09.01.2022 09:00,58451
09.01.2022 09:00 - 09.01.2022 10:00,60980
09.01.2022 10:00 - 09.01.2022 11:00,63340
09.01.2022 11:00 - 09.01.2022 12:00,65271
09.01.2022 12:00 - 09.01.2022 13:00,68117
09.01.2022 13:00 - 09.01.2022 14:00,65990
09.01.2022 14:00 - 09.01.2022 15:00,62781
09.01.2022 15:00 - 09.01.2022 16:00,61160
09.01.2022 16:00 - 09.01.2022 17:00,61148
09.01.2022 17:00 - 09.01.2022 18:00,63801
09.01.2022 18:00 - 09.01.2022 19:00,67747
09.01.2022 19:00 - 09.01.2022 20:00,69068
09.01.2022 20:00 - 09.01.2022 21:00,66794
09.01.2022 21:00 - 09.01.2022 22:00,64122
09.01.2022 22:00 - 09.01.2022 23:00,64125
09.01.2022 23:00 - 10.01.2022 00:00,64574
10.01.2022 00:00 - 10.01.2022 01:00,64574
10.01.2022 01:00 - 10.01.2022 02:00,60964
10.01.2022 02:00 - 10.01.2022 03:00,59788
10.01.2022 03:00 - 10.01.2022 04:00,57597
10.01.2022 04:00 - 10.01.2022 05:00,57190
10.01.2022 05:00 - 10.01.2022 06:00,60137
10.01.2022 06:00 - 10.01.2022 07:00,65549
10.01.2022 07:00 - 10.01.2022 08:00,71279
10.01.2022 08:00 - 10.01.2022 09:00,74105
10.01.2022 09:00 - 10.01.2022 10:00,74875
10.01.2022 10:00 - 10.01.2022 11:00,74875
10.01.2022 11:00 - 10.01.2022 12:00,N/A
10.01.2022 12:00 - 10.01.2022 13:00,N/A
10.01.2022 13:00 - 10.01.2022 14:00,N/A
10.01.2022 14:00 - 10.01.2022 15:00,N/A
10.01.2022 15:00 - 10.01.2022 16:00,N/A
10.01.2022 16:00 - 10.01.2022 17:00,N/A
10.01.2022 17:00 - 10.01.2022 18:00,72060
10.01.2022 18:00 - 10.01.2022 19:00,77164
10.01.2022 19:00 - 10.01.2022 20:00,77349
10.01.2022 20:00 - 10.01.2022 21:00,73015
10.01.2022 21:00 - 10.01.2022 22:00,68942
10.01.2022 22:00 - 10.01.2022 23:00,68661
10.01.2022 23:00 - 11.01.2022 00:00,68705
11.01.2022 00:00 - 11.01.2022 01:00,68705
11.01.2022 01:00 - 11.01.2022 02:00,64353
11.01.2022 02:00 - 11.01.2022 03:00,63466
11.01.2022 03:00 - 11.01.2022 04:00,61465
11.01.2022 04:00 - 11.01.2022 05:00,60982
11.01.2022 05:00 - 11.01.2022 06:00,63615
11.01.2022 06:00 - 11.01.2022 07:00,69110
11.01.2022 07:00 - 11.01.2022 08:00,75489
11.01.2022 08:00 - 11.01.2022 09:00,78638
11.01.2022 09:00 - 11.01.2022 10:00,79054
11.01.2022 10:00 - 11.01.2022 11:00,78958
11.01.2022 11:00 - 11.01.2022 12:00,78784
11.01.2022 12:00 - 11.01.2022 13:00,78621
11.01.2022 13:00 - 11.01.2022 14:00,76347
11.01.2022 14:00 - 11.01.2022 15:00,73558
11.01.2022 15:00 - 11.01.2022 16:00,71683
11.01.2022 16:00 - 11.01.2022 17:00,71332
11.01.2022 17:00 - 11.01.2022 18:00,74629
11.01.2022 18:00 - 11.01.2022 19:00,79414
11.01.2022 19:00 - 11.01.2022 20:00,79978
11.01.2022 20:00 - 11.01.2022 21:00,76106
11.01.2022 21:00 - 11.01.2022 22:00,72233
11.01.2022 22:00 - 11.01.2022 23:00,71844
11.01.2022 23:00 - 12.01.2022 00:00,71915
12.01.2022 00:00 - 12.01.2022 01:00,71915
12.01.2022 01:00 - 12.01.2022 02:00,67935
12.01.2022 02:00 - 12.01.2022 03:00,66977
12.01.2022 03:00 - 12.01.2022 04:00,65072
12.01.2022 04:00 - 12.01.2022 05:00,64866
12.01.2022 05:00 - 12.01.2022 06:00,67516
12.01.2022 06:00 - 12.01.2022 07:00,72431
12.01.2022 07:00 - 12.01.2022 08:00,77883
12.01.2022 08:00 - 12.01.2022 09:00,81562
12.01.2022 09:00 - 12.01.2022 10:00,N/A
12.01.2022 10:00 - 12.01.2022 11:00,81828
12.01.2022 11:00 - 12.01.2022 12:00,81361
12.01.2022 12:00 - 12.01.2022 13:00,81258
12.01.2022 13:00 - 12.01.2022 14:00,78607
12.01.2022 14:00 - 12.01.2022 15:00,75826
12.01.2022 15:00 - 12.01.2022 16:00,73890
12.01.2022 16:00 - 12.01.2022 17:00,73290
12.01.2022 17:00 - 12.01.2022 18:00,76133
12.01.2022 18:00 - 12.01.2022 19:00,80765
12.01.2022 19:00 - 12.01.2022 20:00,81250
12.01.2022 20:00 - 12.01.2022 21:00,77344
12.01.2022 21:00 - 12.01.2022 22:00,73524
12.01.2022 22:00 - 12.01.2022 23:00,73061
12.01.2022 23:00 - 13.01.2022 00:00,73383
13.01.2022 00:00 - 13.01.2022 01:00,72741
13.01.2022 01:00 - 13.01.2022 02:00,70233
13.01.2022 02:00 - 13.01.2022 03:00,51088
13.01.2022 03:00 - 13.01.2022 04:00,67051
13.01.2022 04:00 - 13.01.2022 05:00,66521
13.01.2022 05:00 - 13.01.2022 06:00,69054
13.01.2022 06:00 - 13.01.2022 07:00,74203
13.01.2022 07:00 - 13.01.2022 08:00,79621
13.01.2022 08:00 - 13.01.2022 09:00,82852
13.01.2022 09:00 - 13.01.2022 10:00,83405
13.01.2022 10:00 - 13.01.2022 11:00,82864
13.01.2022 11:00 - 13.01.2022 12:00,82200
13.01.2022 12:00 - 13.01.2022 13:00,81907
13.01.2022 13:00 - 13.01.2022 14:00,79119
13.01.2022 14:00 - 13.01.2022 15:00,75924
13.01.2022 15:00 - 13.01.2022 16:00,73714
13.01.2022 16:00 - 13.01.2022 17:00,73367
