Time (CET/CEST),Actual Total Load [MW] - Greece (GR)
01.01.2022 00:00 - 01.01.2022 01:00,4568
01.01.2022 01:00 - 01.01.2022 02:00,4416
01.01.2022 02:00 - 01.01.2022 03:00,4157
01.01.2022 03:00 - 01.01.2022 04:00,3984
01.01.2022 04:00 - 01.01.2022 05:00,3945
01.01.2022 05:00 - 01.01.2022 06:00,4022
01.01.2022 06:00 - 01.01.2022 07:00,4164
01.01.2022 07:00 - 01.01.2022 08:00,4336
01.01.2022 08:00 - 01.01.2022 09:00,4755
01.01.2022 09:00 - 01.01.2022 10:00,5224
01.01.2022 10:00 - 01.01.2022 11:00,5537
01.01.2022 11:00 - 01.01.2022 12:00,5621
01.01.2022 12:00 - 01.01.2022 13:00,5378
01.01.2022 13:00 - 01.01.2022 14:00,4862
01.01.2022 14:00 - 01.01.2022 15:00,4793
01.01.2022 15:00 - 01.01.2022 16:00,4785
01.01.2022 16:00 - 01.01.2022 17:00,5069
01.01.2022 17:00 - 01.01.2022 18:00,5555
01.01.2022 18:00 - 01.01.2022 19:00,5651
01.01.2022 19:00 - 01.01.2022 20:00,5635
01.01.2022 20:00 - 01.01.2022 21:00,5495
01.01.2022 21:00 - 01.01.2022 22:00,5184
01.01.2022 22:00 - 01.01.2022 23:00,4926
01.01.2022 23:00 - 02.01.2022 00:00,4527
02.01.2022 00:00 - 02.01.2022 01:00,4134
02.01.2022 01:00 - 02.01.2022 02:00,4036
02.01.2022 02:00 - 02.01.2022 03:00,3851
02.01.2022 03:00 - 02.01.2022 04:00,3742
02.01.2022 04:00 - 02.01.2022 05:00,3762
02.01.2022 05:00 - 02.01.2022 06:00,3877
02.01.2022 06:00 - 02.01.2022 07:00,4012
02.01.2022 07:00 - 02.01.2022 08:00,4186
02.01.2022 08:00 - 02.01.2022 09:00,4494
02.01.2022 09:00 - 02.01.2022 10:00,4780
02.01.2022 10:00 - 02.01.2022 11:00,4952
02.01.2022 11:00 - 02.01.2022 12:00,5017
02.01.2022 12:00 - 02.01.2022 13:00,5043
02.01.2022 13:00 - 02.01.2022 14:00,4755
02.01.2022 14:00 - 02.01.2022 15:00,4825
02.01.2022 15:00 - 02.01.2022 16:00,4894
02.01.2022 16:00 - 02.01.2022 17:00,5288
02.01.2022 17:00 - 02.01.2022 18:00,5877
02.01.2022 18:00 - 02.01.2022 19:00,6031
02.01.2022 19:00 - 02.01.2022 20:00,6036
02.01.2022 20:00 - 02.01.2022 21:00,5860
02.01.2022 21:00 - 02.01.2022 22:00,5499
02.01.2022 22:00 - 02.01.2022 23:00,5137
