Time (CET/CEST),Actual Total Load [MW] - Netherlands (NL)
01.01.2022 00:00 - 01.01.2022 00:15,10446
01.01.2022 00:15 - 01.01.2022 00:30,10388
01.01.2022 00:30 - 01.01.2022 00:45,10340
01.01.2022 00:45 - 01.01.2022 01:00,10322
01.01.2022 01:00 - 01.01.2022 01:15,10326
01.01.2022 01:15 - 01.01.2022 01:30,10332
01.01.2022 01:30 - 01.01.2022 01:45,10223
01.01.2022 01:45 - 01.01.2022 02:00,10118
01.01.2022 02:00 - 01.01.2022 02:15,10033
01.01.2022 02:15 - 01.01.2022 02:30,9956
01.01.2022 02:30 - 01.01.2022 02:45,9861
01.01.2022 02:45 - 01.01.2022 03:00,9778
01.01.2022 03:00 - 01.01.2022 03:15,9870
01.01.2022 03:15 - 01.01.2022 03:30,9843
01.01.2022 03:30 - 01.01.2022 03:45,9758
01.01.2022 03:45 - 01.01.2022 04:00,9659
01.01.2022 04:00 - 01.01.2022 04:15,9663
01.01.2022 04:15 - 01.01.2022 04:30,9623
01.01.2022 04:30 - 01.01.2022 04:45,9567
01.01.2022 04:45 - 01.01.2022 05:00,9506
01.01.2022 05:00 - 01.01.2022 05:15,9515
01.01.2022 05:15 - 01.01.2022 05:30,9499
01.01.2022 05:30 - 01.01.2022 05:45,9524
01.01.2022 05:45 - 01.01.2022 06:00,9494
01.01.2022 06:00 - 01.01.2022 06:15,9629
01.01.2022 06:15 - 01.01.2022 06:30,9673
01.01.2022 06:30 - 01.01.2022 06:45,9702
01.01.2022 06:45 - 01.01.2022 07:00,9759
01.01.2022 07:00 - 01.01.2022 07:15,9822
01.01.2022 07:15 - 01.01.2022 07:30,9887
01.01.2022 07:30 - 01.01.2022 07:45,9969
01.01.2022 07:45 - 01.01.2022 08:00,10009
01.01.2022 08:00 - 01.01.2022 08:15,10103
01.01.2022 08:15 - 01.01.2022 08:30,10167
01.01.2022 08:30 - 01.01.2022 08:45,10184
01.01.2022 08:45 - 01.01.2022 09:00,10179
01.01.2022 09:00 - 01.01.2022 09:15,10278
01.01.2022 09:15 - 01.01.2022 09:30,10330
01.01.2022 09:30 - 01.01.2022 09:45,10366
01.01.2022 09:45 - 01.01.2022 10:00,10472
01.01.2022 10:00 - 01.01.2022 10:15,10574
01.01.2022 10:15 - 01.01.2022 10:30,10680
01.01.2022 10:30 - 01.01.2022 10:45,10683
01.01.2022 10:45 - 01.01.2022 11:00,10715
01.01.2022 11:00 - 01.01.2022 11:15,10718
01.01.2022 11:15 - 01.01.2022 11:30,10683
01.01.2022 11:30 - 01.01.2022 11:45,10652
01.01.2022 11:45 - 01.01.2022 12:00,10622
01.01.2022 12:00 - 01.01.2022 12:15,10537
01.01.2022 12:15 - 01.01.2022 12:30,10507
01.01.2022 12:30 - 01.01.2022 12:45,10531
01.01.2022 12:45 - 01.01.2022 13:00,10593
01.01.2022 13:00 - 01.01.2022 13:15,10663
01.01.2022 13:15 - 01.01.2022 13:30,10751
01.01.2022 13:30 - 01.01.2022 13:45,10751
01.01.2022 13:45 - 01.01.2022 14:00,10780
01.01.2022 14:00 - 01.01.2022 14:15,10871
01.01.2022 14:15 - 01.01.2022 14:30,10947
01.01.2022 14:30 - 01.01.2022 14:45,11033
01.01.2022 14:45 - 01.01.2022 15:00,11157
01.01.2022 15:00 - 01.01.2022 15:15,11242
01.01.2022 15:15 - 01.01.2022 15:30,11377
01.01.2022 15:30 - 01.01.2022 15:45,11420
01.01.2022 15:45 - 01.01.2022 16:00,11510
01.01.2022 16:00 - 01.01.2022 16:15,11558
01.01.2022 16:15 - 01.01.2022 16:30,11722
01.01.2022 16:30 - 01.01.2022 16:45,11912
01.01.2022 16:45 - 01.01.2022 17:00,12225
01.01.2022 17:00 - 01.01.2022 17:15,12547
01.01.2022 17:15 - 01.01.2022 17:30,12820
01.01.2022 17:30 - 01.01.2022 17:45,13026
01.01.2022 17:45 - 01.01.2022 18:00,13104
01.01.2022 18:00 - 01.01.2022 18:15,13071
01.01.2022 18:15 - 01.01.2022 18:30,13008
01.01.2022 18:30 - 01.01.2022 18:45,12890
01.01.2022 18:45 - 01.01.2022 19:00,12791
01.01.2022 19:00 - 01.01.2022 19:15,12740
01.01.2022 19:15 - 01.01.2022 19:30,12610
01.01.2022 19:30 - 01.01.2022 19:45,12544
01.01.2022 19:45 - 01.01.2022 20:00,12483
01.01.2022 20:00 - 01.01.2022 20:15,12362
01.01.2022 20:15 - 01.01.2022 20:30,12238
01.01.2022 20:30 - 01.01.2022 20:45,12028
01.01.2022 20:45 - 01.01.2022 21:00,11914
01.01.2022 21:00 - 01.01.2022 21:15,11760
01.01.2022 21:15 - 01.01.2022 21:30,11659
01.01.2022 21:30 - 01.01.2022 21:45,11532
01.01.2022 21:45 - 01.01.2022 22:00,11472
01.01.2022 22:00 - 01.01.2022 22:15,11389
01.01.2022 22:15 - 01.01.2022 22:30,11243
01.01.2022 22:30 - 01.01.2022 22:45,11093
01.01.2022 22:45 - 01.01.2022 23:00,10943
01.01.2022 23:00 - 01.01.2022 23:15,10834
01.01.2022 23:15 - 01.01.2022 23:30,10720
01.01.2022 23:30 - 01.01.2022 23:45,10606
01.01.2022 23:45 - 02.01.2022 00:00,10461
02.01.2022 00:00 - 02.01.2022 00:15,10488
02.01.2022 00:15 - 02.01.2022 00:30,10406
02.01.2022 00:30 - 02.01.2022 00:45,10312
02.01.2022 00:45 - 02.01.2022 01:00,10209
02.01.2022 01:00 - 02.01.2022 01:15,10126
02.01.2022 01:15 - 02.01.2022 01:30,10043
02.01.2022 01:30 - 02.01.2022 01:45,9942
02.01.2022 01:45 - 02.01.2022 02:00,9815
02.01.2022 02:00 - 02.01.2022 02:15,9762
02.01.2022 02:15 - 02.01.2022 02:30,9694
02.01.2022 02:30 - 02.01.2022 02:45,9677
02.01.2022 02:45 - 02.01.2022 03:00,9671
02.01.2022 03:00 - 02.01.2022 03:15,9645
02.01.2022 03:15 - 02.01.2022 03:30,9603
02.01.2022 03:30 - 02.01.2022 03:45,9565
02.01.2022 03:45 - 02.01.2022 04:00,9527
02.01.2022 04:00 - 02.01.2022 04:15,9541
02.01.2022 04:15 - 02.01.2022 04:30,9544
02.01.2022 04:30 - 02.01.2022 04:45,9543
02.01.2022 04:45 - 02.01.2022 05:00,9611
02.01.2022 05:00 - 02.01.2022 05:15,9585
02.01.2022 05:15 - 02.01.2022 05:30,9652
02.01.2022 05:30 - 02.01.2022 05:45,9716
02.01.2022 05:45 - 02.01.2022 06:00,9751
02.01.2022 06:00 - 02.01.2022 06:15,9860
02.01.2022 06:15 - 02.01.2022 06:30,9922
02.01.2022 06:30 - 02.01.2022 06:45,10038
02.01.2022 06:45 - 02.01.2022 07:00,10086
02.01.2022 07:00 - 02.01.2022 07:15,10218
02.01.2022 07:15 - 02.01.2022 07:30,10293
02.01.2022 07:30 - 02.01.2022 07:45,10499
02.01.2022 07:45 - 02.01.2022 08:00,10629
02.01.2022 08:00 - 02.01.2022 08:15,10816
02.01.2022 08:15 - 02.01.2022 08:30,10963
02.01.2022 08:30 - 02.01.2022 08:45,11118
02.01.2022 08:45 - 02.01.2022 09:00,11239
02.01.2022 09:00 - 02.01.2022 09:15,11382
02.01.2022 09:15 - 02.01.2022 09:30,11562
02.01.2022 09:30 - 02.01.2022 09:45,11632
02.01.2022 09:45 - 02.01.2022 10:00,11717
02.01.2022 10:00 - 02.01.2022 10:15,11651
02.01.2022 10:15 - 02.01.2022 10:30,11591
02.01.2022 10:30 - 02.01.2022 10:45,11559
02.01.2022 10:45 - 02.01.2022 11:00,11569
02.01.2022 11:00 - 02.01.2022 11:15,11722
02.01.2022 11:15 - 02.01.2022 11:30,11810
02.01.2022 11:30 - 02.01.2022 11:45,11943
02.01.2022 11:45 - 02.01.2022 12:00,12058
02.01.2022 12:00 - 02.01.2022 12:15,12187
02.01.2022 12:15 - 02.01.2022 12:30,12207
02.01.2022 12:30 - 02.01.2022 12:45,12194
02.01.2022 12:45 - 02.01.2022 13:00,12141
02.01.2022 13:00 - 02.01.2022 13:15,12043
02.01.2022 13:15 - 02.01.2022 13:30,11984
02.01.2022 13:30 - 02.01.2022 13:45,11925
02.01.2022 13:45 - 02.01.2022 14:00,11895
02.01.2022 14:00 - 02.01.2022 14:15,11856
02.01.2022 14:15 - 02.01.2022 14:30,11863
02.01.2022 14:30 - 02.01.2022 14:45,11945
02.01.2022 14:45 - 02.01.2022 15:00,12029
02.01.2022 15:00 - 02.01.2022 15:15,12082
02.01.2022 15:15 - 02.01.2022 15:30,12195
02.01.2022 15:30 - 02.01.2022 15:45,12224
02.01.2022 15:45 - 02.01.2022 16:00,12276
02.01.2022 16:00 - 02.01.2022 16:15,12293
02.01.2022 16:15 - 02.01.2022 16:30,12496
02.01.2022 16:30 - 02.01.2022 16:45,12738
02.01.2022 16:45 - 02.01.2022 17:00,13139
02.01.2022 17:00 - 02.01.2022 17:15,13410
02.01.2022 17:15 - 02.01.2022 17:30,13733
02.01.2022 17:30 - 02.01.2022 17:45,13960
02.01.2022 17:45 - 02.01.2022 18:00,13998
02.01.2022 18:00 - 02.01.2022 18:15,13896
02.01.2022 18:15 - 02.01.2022 18:30,13710
02.01.2022 18:30 - 02.01.2022 18:45,13543
02.01.2022 18:45 - 02.01.2022 19:00,13475
02.01.2022 19:00 - 02.01.2022 19:15,13393
02.01.2022 19:15 - 02.01.2022 19:30,13236
02.01.2022 19:30 - 02.01.2022 19:45,13192
02.01.2022 19:45 - 02.01.2022 20:00,13164
02.01.2022 20:00 - 02.01.2022 20:15,12985
02.01.2022 20:15 - 02.01.2022 20:30,12916
