Time (CET/CEST),Actual Total Load [MW] - Spain (ES)
01.01.2023 00:00 - 01.01.2023 00:15,20100
01.01.2023 00:15 - 01.01.2023 00:30,20064
01.01.2023 00:30 - 01.01.2023 00:45,19972
01.01.2023 00:45 - 01.01.2023 01:00,19852
01.01.2023 01:00 - 01.01.2023 01:15,19624
01.01.2023 01:15 - 01.01.2023 01:30,19380
01.01.2023 01:30 - 01.01.2023 01:45,19140
01.01.2023 01:45 - 01.01.2023 02:00,18860
01.01.2023 02:00 - 01.01.2023 02:15,18460
01.01.2023 02:15 - 01.01.2023 02:30,18248
01.01.2023 02:30 - 01.01.2023 02:45,17980
01.01.2023 02:45 - 01.01.2023 03:00,17728
01.01.2023 03:00 - 01.01.2023 03:15,17384
01.01.2023 03:15 - 01.01.2023 03:30,17168
01.01.2023 03:30 - 01.01.2023 03:45,16988
01.01.2023 03:45 - 01.01.2023 04:00,16820
01.01.2023 04:00 - 01.01.2023 04:15,16704
01.01.2023 04:15 - 01.01.2023 04:30,16608
01.01.2023 04:30 - 01.01.2023 04:45,16468
01.01.2023 04:45 - 01.01.2023 05:00,16344
01.01.2023 05:00 - 01.01.2023 05:15,16264
01.01.2023 05:15 - 01.01.2023 05:30,16180
01.01.2023 05:30 - 01.01.2023 05:45,16136
01.01.2023 05:45 - 01.01.2023 06:00,16140
01.01.2023 06:00 - 01.01.2023 06:15,16224
01.01.2023 06:15 - 01.01.2023 06:30,16220
01.01.2023 06:30 - 01.01.2023 06:45,16232
01.01.2023 06:45 - 01.01.2023 07:00,16240
01.01.2023 07:00 - 01.01.2023 07:15,16404
01.01.2023 07:15 - 01.01.2023 07:30,16472
01.01.2023 07:30 - 01.01.2023 07:45,16548
01.01.2023 07:45 - 01.01.2023 08:00,16624
01.01.2023 08:00 - 01.01.2023 08:15,16608
01.01.2023 08:15 - 01.01.2023 08:30,16560
01.01.2023 08:30 - 01.01.2023 08:45,16456
01.01.2023 08:45 - 01.01.2023 09:00,16420
01.01.2023 09:00 - 01.01.2023 09:15,16552
01.01.2023 09:15 - 01.01.2023 09:30,16748
01.01.2023 09:30 - 01.01.2023 09:45,16996
01.01.2023 09:45 - 01.01.2023 10:00,17264
01.01.2023 10:00 - 01.01.2023 10:15,17664
01.01.2023 10:15 - 01.01.2023 10:30,18028
01.01.2023 10:30 - 01.01.2023 10:45,18256
01.01.2023 10:45 - 01.01.2023 11:00,18664
01.01.2023 11:00 - 01.01.2023 11:15,19036
01.01.2023 11:15 - 01.01.2023 11:30,19204
01.01.2023 11:30 - 01.01.2023 11:45,19304
01.01.2023 11:45 - 01.01.2023 12:00,19384
01.01.2023 12:00 - 01.01.2023 12:15,19480
01.01.2023 12:15 - 01.01.2023 12:30,19736
01.01.2023 12:30 - 01.01.2023 12:45,19892
01.01.2023 12:45 - 01.01.2023 13:00,19872
01.01.2023 13:00 - 01.01.2023 13:15,20000
01.01.2023 13:15 - 01.01.2023 13:30,20324
01.01.2023 13:30 - 01.01.2023 13:45,20480
01.01.2023 13:45 - 01.01.2023 14:00,20628
01.01.2023 14:00 - 01.01.2023 14:15,20772
01.01.2023 14:15 - 01.01.2023 14:30,20676
01.01.2023 14:30 - 01.01.2023 14:45,20392
01.01.2023 14:45 - 01.01.2023 15:00,20288
01.01.2023 15:00 - 01.01.2023 15:15,20104
01.01.2023 15:15 - 01.01.2023 15:30,19752
01.01.2023 15:30 - 01.01.2023 15:45,19504
01.01.2023 15:45 - 01.01.2023 16:00,19412
01.01.2023 16:00 - 01.01.2023 16:15,19492
01.01.2023 16:15 - 01.01.2023 16:30,19496
01.01.2023 16:30 - 01.01.2023 16:45,19484
01.01.2023 16:45 - 01.01.2023 17:00,19528
01.01.2023 17:00 - 01.01.2023 17:15,19748
01.01.2023 17:15 - 01.01.2023 17:30,19876
01.01.2023 17:30 - 01.01.2023 17:45,20388
01.01.2023 17:45 - 01.01.2023 18:00,21064
01.01.2023 18:00 - 01.01.2023 18:15,21872
01.01.2023 18:15 - 01.01.2023 18:30,22504
01.01.2023 18:30 - 01.01.2023 18:45,22792
01.01.2023 18:45 - 01.01.2023 19:00,23008
01.01.2023 19:00 - 01.01.2023 19:15,23316
01.01.2023 19:15 - 01.01.2023 19:30,23516
01.01.2023 19:30 - 01.01.2023 19:45,23656
01.01.2023 19:45 - 01.01.2023 20:00,23888
01.01.2023 20:00 - 01.01.2023 20:15,24140
01.01.2023 20:15 - 01.01.2023 20:30,24320
01.01.2023 20:30 - 01.01.2023 20:45,24556
01.01.2023 20:45 - 01.01.2023 21:00,24648
01.01.2023 21:00 - 01.01.2023 21:15,24700
01.01.2023 21:15 - 01.01.2023 21:30,24764
01.01.2023 21:30 - 01.01.2023 21:45,24552
01.01.2023 21:45 - 01.01.2023 22:00,24336
01.01.2023 22:00 - 01.01.2023 22:15,23968
01.01.2023 22:15 - 01.01.2023 22:30,23668
01.01.2023 22:30 - 01.01.2023 22:45,23200
01.01.2023 22:45 - 01.01.2023 23:00,22776
01.01.2023 23:00 - 01.01.2023 23:15,22252
01.01.2023 23:15 - 01.01.2023 23:30,21728
01.01.2023 23:30 - 01.01.2023 23:45,21292
01.01.2023 23:45 - 02.01.2023 00:00,20716
02.01.2023 00:00 - 02.01.2023 00:15,20588
02.01.2023 00:15 - 02.01.2023 00:30,20116
02.01.2023 00:30 - 02.01.2023 00:45,19708
02.01.2023 00:45 - 02.01.2023 01:00,19316
02.01.2023 01:00 - 02.01.2023 01:15,19008
02.01.2023 01:15 - 02.01.2023 01:30,18644
02.01.2023 01:30 - 02.01.2023 01:45,18368
02.01.2023 01:45 - 02.01.2023 02:00,18132
02.01.2023 02:00 - 02.01.2023 02:15,17976
02.01.2023 02:15 - 02.01.2023 02:30,17688
02.01.2023 02:30 - 02.01.2023 02:45,17552
02.01.2023 02:45 - 02.01.2023 03:00,17396
02.01.2023 03:00 - 02.01.2023 03:15,17300
02.01.2023 03:15 - 02.01.2023 03:30,17264
02.01.2023 03:30 - 02.01.2023 03:45,17204
02.01.2023 03:45 - 02.01.2023 04:00,17140
02.01.2023 04:00 - 02.01.2023 04:15,17208
02.01.2023 04:15 - 02.01.2023 04:30,17208
02.01.2023 04:30 - 02.01.2023 04:45,17220
02.01.2023 04:45 - 02.01.2023 05:00,17200
02.01.2023 05:00 - 02.01.2023 05:15,17504
02.01.2023 05:15 - 02.01.2023 05:30,17688
02.01.2023 05:30 - 02.01.2023 05:45,17848
02.01.2023 05:45 - 02.01.2023 06:00,18272
02.01.2023 06:00 - 02.01.2023 06:15,19268
02.01.2023 06:15 - 02.01.2023 06:30,19752
02.01.2023 06:30 - 02.01.2023 06:45,20236
02.01.2023 06:45 - 02.01.2023 07:00,20804
02.01.2023 07:00 - 02.01.2023 07:15,21752
02.01.2023 07:15 - 02.01.2023 07:30,22156
02.01.2023 07:30 - 02.01.2023 07:45,22760
02.01.2023 07:45 - 02.01.2023 08:00,23304
02.01.2023 08:00 - 02.01.2023 08:15,23980
02.01.2023 08:15 - 02.01.2023 08:30,24240
02.01.2023 08:30 - 02.01.2023 08:45,24536
02.01.2023 08:45 - 02.01.2023 09:00,24700
02.01.2023 09:00 - 02.01.2023 09:15,25228
